iter	RMSE
0	341570.5995
1	323428.4489
2	307988.5961
3	293644.857
4	280830.6082
5	268796.293
6	258330.8354
7	249594.0906
8	240289.0359
9	232855.2359
10	226152.2136
11	218280.1695
12	211718.6837
13	204354.3634
14	197847.3734
15	191859.9429
16	186992.9336
17	182196.7596
18	178427.2899
19	174654.2084
20	171271.0926
21	167862.0736
22	165194.0519
23	162415.6476
24	160282.102
25	158623.4695
26	156789.3543
27	155111.695
28	153714.9755
29	152541.1173
30	151095.465
31	149533.0411
32	148379.786
33	147105.7788
34	146084.5387
35	144921.7282
36	143858.9468
37	142786.4823
38	141871.9682
39	140892.7741
40	140063.7765
41	139251.1012
42	138393.7149
43	137672.3051
44	137099.9403
45	136151.3671
46	135499.9353
47	134823.8098
48	134378.702
49	133841.0625
50	133299.4065
51	132779.6204
52	132246.1345
53	131689.293
54	131078.3828
55	130658.7117
56	130305.7011
57	129920.5429
58	129484.0823
59	129016.3625
60	128598.1627
61	128258.2157
62	127814.4186
63	127506.5204
64	126979.8264
65	126721.4804
66	126338.9867
67	126097.9114
68	125839.7879
69	125578.1398
70	125292.0138
71	124976.2421
72	124735.9678
73	124394.6366
74	124164.5583
75	123546.4204
76	123343.7454
77	122727.9372
78	122459.032
79	122268.1814
80	122011.4823
81	121745.2231
82	121570.645
83	121343.8709
84	121211.3896
85	120997.2024
86	120706.5302
87	120534.4485
88	120186.9335
89	119876.5443
90	119670.2292
91	119461.9693
92	119271.5012
93	119061.791
94	118823.8178
95	118613.3144
96	118393.6157
97	118083.5082
98	117843.3214
99	117611.1546
100	117424.7527
101	117171.0285
102	116866.4417
103	116659.1719
104	116466.2977
105	116315.437
106	116155.7528
107	115949.9245
108	115802.2127
109	115582.3749
110	115342.6369
111	115154.5326
112	114932.9511
113	114758.0018
114	114603.5542
115	114178.0436
116	114008.6552
117	113856.0599
118	113617.5371
119	113417.3746
120	113251.6162
121	113093.5302
122	112916.5382
123	112741.1042
124	112590.2482
125	112463.0152
126	112287.9761
127	112005.1744
128	111844.0052
129	111661.0184
130	111474.4371
131	111285.6838
132	111151.5184
133	110985.7223
134	110848.8695
135	110675.4513
136	110410.2172
137	110176.8127
138	109973.2049
139	109868.2992
140	109709.1263
141	109615.2279
142	109475.0003
143	109350.1584
144	109206.6392
145	109091.5778
146	108941.1403
147	108811.3619
148	108688.0735
149	108534.4108
150	108409.6576
151	108221.6343
152	108108.581
153	107868.3287
154	107726.6813
155	107610.182
156	107483.2588
157	107369.6923
158	107240.4692
159	107127.2118
160	107035.7674
161	106862.3133
162	106742.3979
163	106641.8821
164	106539.422
165	106466.5084
166	106360.3891
167	106256.0728
168	106141.8166
169	105976.9039
170	105828.8563
171	105704.6416
172	105561.7501
173	105450.8908
174	105347.8031
175	105258.4107
176	105185.0033
177	105117.3637
178	105008.4071
179	104954.4944
180	104854.1163
181	104758.3747
