iter	Passed	Remaining
0	58	174172
1	60	90620
2	62	62554
3	65	48875
4	67	40403
5	69	34618
6	71	30640
7	74	27732
8	76	25329
9	78	23368
10	80	21876
11	82	20644
12	85	19531
13	86	18526
14	89	17746
15	91	17036
16	93	16383
17	94	15722
18	96	15152
19	99	14796
20	101	14356
21	103	13974
22	105	13634
23	107	13299
24	109	12973
25	110	12666
26	112	12390
27	115	12216
28	116	11945
29	118	11743
30	120	11562
31	122	11374
32	124	11207
33	126	11035
34	128	10919
35	131	10809
36	133	10711
37	135	10593
38	138	10509
39	140	10380
40	141	10245
41	144	10144
42	146	10078
43	148	10002
44	150	9889
45	152	9813
46	155	9755
47	157	9680
48	159	9597
49	161	9520
50	163	9454
51	165	9399
52	167	9310
53	169	9225
54	171	9160
55	173	9094
56	174	9025
57	176	8962
58	178	8913
59	181	8873
60	183	8823
61	184	8763
62	187	8721
63	189	8686
64	191	8638
65	193	8589
66	195	8559
67	197	8519
68	199	8470
69	201	8439
70	203	8393
71	205	8358
72	207	8315
73	209	8275
74	211	8237
75	213	8198
76	215	8171
77	217	8139
78	219	8107
79	221	8083
80	223	8065
81	225	8018
82	227	8001
83	230	7990
84	231	7955
85	234	7930
86	236	7906
87	238	7882
88	241	7888
89	243	7869
90	245	7845
91	247	7827
92	249	7802
93	251	7784
94	253	7754
95	255	7738
96	257	7716
97	260	7704
98	262	7683
99	264	7665
100	266	7653
101	268	7635
102	270	7615
103	272	7579
104	274	7577
105	276	7551
106	278	7535
107	280	7515
108	282	7501
109	285	7491
110	286	7466
111	289	7464
112	291	7443
113	293	7425
114	295	7407
115	297	7393
116	299	7380
117	301	7367
118	303	7348
119	305	7333
120	307	7324
121	310	7313
122	312	7297
123	314	7291
124	316	7271
125	317	7247
126	319	7234
127	321	7214
128	323	7202
129	325	7195
130	327	7175
131	329	7164
132	331	7151
133	334	7143
134	336	7135
135	338	7127
136	340	7116
137	342	7113
138	345	7117
139	347	7106
140	350	7101
141	352	7091
142	354	7079
143	356	7070
144	358	7061
145	360	7056
146	362	7041
147	365	7042
148	367	7033
149	369	7024
150	371	7009
151	373	6992
152	375	6984
153	377	6969
154	379	6956
155	381	6948
156	383	6937
157	384	6923
158	386	6913
159	388	6897
160	390	6886
161	392	6874
162	394	6864
163	396	6855
164	398	6843
165	400	6833
166	402	6823
167	403	6807
168	406	6802
169	408	6794
170	409	6781
171	411	6772
172	413	6763
173	416	6758
174	418	6750
175	420	6741
176	422	6736
177	424	6727
178	425	6710
179	427	6697
180	429	6683
181	431	6674
